title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Tsukipro The Animation,TV,13,Finished Airing,Fall 2017,Fall,2017.0,,"Idols (Male), Music",PRA,"Studio Pierrot, Movic, Bandai Namco Entertainment, Docomo Anime Store, AZ Creative",,PG-13 - Teens 13 or older,6.67,6290.0,5485.0,18842.0,101.0
Monster Strike: Rain of Memories,ONA,1,Finished Airing,,,,"Action, Fantasy",Video Game,"Ultra Super Pictures, Connect",add some,,PG-13 - Teens 13 or older,6.39,8011.0,10689.0,3232.0,1.0
Platonic Chain: Ansatsu Jikkouchuu,Special,1,Finished Airing,,,,"Sci-Fi, Slice of Life",,ACiD FiLM,add some,,PG-13 - Teens 13 or older,5.72,11738.0,16286.0,691.0,1.0
Shokugeki no Souma: Ni no Sara OVA,OVA,2,Finished Airing,,,,"Gourmet, Ecchi",School,J.C.Staff,"Lantis, Mainichi Broadcasting System, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Shueisha",Shounen,PG-13 - Teens 13 or older,7.45,2239.0,1542.0,173652.0,110.0
Getsuyoubi no Tawawa Specials,Special,2,Finished Airing,,,,"Slice of Life, Ecchi",,PINE JAM,"NBCUniversal Entertainment Japan, i0+",,PG-13 - Teens 13 or older,6.55,7038.0,3621.0,46710.0,35.0
Star Ocean: Anamnesis,ONA,17,Finished Airing,,,,"Action, Fantasy",,add some,add some,,PG-13 - Teens 13 or older,,15355.0,14363.0,1134.0,0.0
Gan Gan Ganko-chan,TV,10,Finished Airing,Winter 2017,Winter,2017.0,"Comedy, Sci-Fi",,10Gauge,add some,Kids,G - All Ages,,21451.0,18011.0,489.0,0.0
Cinderella Girls Gekijou: 5-shuunen Kinen Short Anime,ONA,1,Finished Airing,,,,Comedy,,Gathering,add some,,PG-13 - Teens 13 or older,5.93,10637.0,11973.0,2251.0,0.0
Sushi Azarashi,TV,30,Finished Airing,Winter 2001,Winter,2001.0,Comedy,,M.S.C,add some,,PG - Children,,15405.0,17882.0,501.0,0.0
Sagurare Otome The Animation,OVA,1,Finished Airing,,,,Hentai,,Studio 1st,"MS Pictures, BOOTLEG",,Rx - Hentai,6.28,,7343.0,9042.0,29.0
Nuki Doki! Tenshi to Akuma no Sakusei Battle - Revolution,OVA,4,Finished Airing,,,,Hentai,,Collaboration Works,add some,,Rx - Hentai,6.4,,6765.0,11014.0,26.0
Sakura Quest,TV,25,Finished Airing,Spring 2017,Spring,2017.0,Slice of Life,"Adult Cast, Workplace",P.A. Works,"AT-X, Houbunsha, TOHO animation, BS11, ABC Animation, Sony PCL",,PG-13 - Teens 13 or older,7.38,2554.0,1638.0,159421.0,544.0
Death March kara Hajimaru Isekai Kyousoukyoku,TV,12,Finished Airing,Winter 2018,Winter,2018.0,"Adventure, Fantasy","Harem, Isekai","SILVER LINK., Connect","Sotsu, AT-X, DIVE II Entertainment, Tokyo MX, Avex Pictures, BS11, Kadokawa, KLab",,PG-13 - Teens 13 or older,6.43,7783.0,444.0,547408.0,1885.0
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Movie,1,Finished Airing,,,,"Romance, Sci-Fi",,Shaft,"Aniplex, TOHO, Lawson HMV Entertainment, Toy's Factory, JR East Marketing & Communications, Kadokawa, LINE Corporation, Toho Music",,PG-13 - Teens 13 or older,6.1,9707.0,1211.0,226085.0,549.0
Kenka Banchou Otome: Girl Beats Boys,TV,12,Finished Airing,Spring 2017,Spring,2017.0,Action,"Crossdressing, Delinquents, Martial Arts, School","Project No.9, A-Real","Grooove, DMM.com",,PG-13 - Teens 13 or older,6.42,7821.0,2502.0,88899.0,232.0
Inazma Delivery,TV,10,Finished Airing,Winter 2017,Winter,2017.0,"Action, Comedy, Sci-Fi",,Kanaban Graphics,add some,,PG-13 - Teens 13 or older,6.2,9129.0,12935.0,1670.0,5.0
KochinPa! Dainiki,TV,24,Finished Airing,Winter 2017,Winter,2017.0,Comedy,,add some,add some,,G - All Ages,4.52,14192.0,12680.0,1807.0,1.0
Seitokai Yakuindomo Movie,Movie,1,Finished Airing,,,,Comedy,"Gag Humor, School",GoHands,"KlockWorx, Glovision, King Records",Shounen,R - 17+ (violence & profanity),7.82,1036.0,3001.0,65336.0,75.0
