title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Subarashiki Kono Sekai The Animation,TV,12,Finished Airing,Spring 2021,Spring,2021.0,"Action, Mystery, Suspense",High Stakes Game,"Shin-Ei Animation, domerica","Dentsu, Square Enix, Mainichi Broadcasting System",,PG-13 - Teens 13 or older,6.15,9446.0,2748.0,76387.0,332.0
Cyberpunk: Edgerunners,ONA,10,Finished Airing,,,,"Action, Sci-Fi","Gore, Organized Crime",Trigger,CD Projekt Red,,R+ - Mild Nudity,8.62,97.0,193.0,974975.0,32753.0
Cosmos Trailer,ONA,1,Finished Airing,,,,Slice of Life,Music,A-1 Pictures,"Half H.P Studio, Flat Studio",,,6.25,8867.0,13845.0,1294.0,0.0
Mei Chuxi de Yinyangshi Yijia 2,ONA,12,Finished Airing,,,,"Comedy, Supernatural","Historical, Mythology",Green Monster Team,add some,,PG-13 - Teens 13 or older,6.33,8347.0,14286.0,1156.0,2.0
Liu Yi Chuanqi,ONA,26,Finished Airing,,,,"Action, Comedy, Fantasy",,Wei Chuang Jiang Xin,add some,,PG-13 - Teens 13 or older,,18252.0,14461.0,1106.0,1.0
Battle Athletess Daiundoukai ReSTART!,TV,12,Finished Airing,Spring 2021,Spring,2021.0,"Adventure, Comedy, Sci-Fi, Sports",School,Seven,"TV Asahi, Nippon Columbia, KlockWorx, BS Fuji, Wolfsbane, SUPA LOVE, Starry Cube, TV Asahi Music, tamakoshi, CTW, FUTURE LEAP, AIC RIGHTS",,PG-13 - Teens 13 or older,5.11,13586.0,7262.0,9269.0,13.0
Nanjung Ilgi,Movie,1,Finished Airing,,,,,"Historical, Military",add some,add some,,PG-13 - Teens 13 or older,,18980.0,21900.0,233.0,0.0
Uwaki to Honki The Animation,OVA,1,Finished Airing,,,,Hentai,,Seven,Pink Pineapple,,Rx - Hentai,6.61,,7810.0,7709.0,25.0
Represent Chikyuu Collab Anime,ONA,2,Finished Airing,,,,Comedy,,add some,add some,,PG-13 - Teens 13 or older,,14439.0,21439.0,259.0,0.0
Hei Mao Jing Zhang (2010),Movie,1,Finished Airing,,,,"Action, Adventure, Comedy, Mystery","Detective, Racing",Shanghai Animation Film Studio,add some,Kids,PG - Children,,21849.0,21954.0,231.0,0.0
Sansan de Ezuoju Chufang,ONA,10,Finished Airing,,,,"Comedy, Slice of Life",,add some,bilibili,,G - All Ages,,14682.0,21306.0,267.0,0.0
Renlei Bowuguan,ONA,36,Finished Airing,,,,"Comedy, Slice of Life",,Haoliners Animation League,add some,,PG-13 - Teens 13 or older,,14429.0,17546.0,532.0,0.0
Mengyou Dunhuang,ONA,5,Finished Airing,,,,"Comedy, Fantasy",Historical,Painting Dream,add some,,,,18586.0,21045.0,282.0,0.0
Qing Chi Hong Xiaodou Ba! 4th Season,ONA,12,Finished Airing,,,,Slice of Life,Anthropomorphic,Making Animation,bilibili,,G - All Ages,,19689.0,20218.0,329.0,0.0
Meikyuu Black Company,TV,12,Finished Airing,Summer 2021,Summer,2021.0,"Comedy, Fantasy",Isekai,SILVER LINK.,"Toy's Factory, ABC Animation, Jinnan Studio, Kadokawa",,PG-13 - Teens 13 or older,7.21,3418.0,1086.0,249509.0,881.0
Uchuu no Kishi Tekkaman Blade II: Virgin Memory,Special,1,Finished Airing,,,,"Adventure, Drama, Sci-Fi","Mecha, Military, Space",Tatsunoko Production,add some,,R+ - Mild Nudity,5.89,10850.0,16342.0,683.0,0.0
Get Up! Get Live! #GeraGera Episode 0,ONA,1,Finished Airing,,,,"Comedy, Slice of Life",,add some,add some,,PG-13 - Teens 13 or older,,21532.0,17994.0,492.0,0.0
Hakata Bus Terminal Gorou,ONA,4,Finished Airing,,,,Comedy,,add some,add some,,PG - Children,,21752.0,21715.0,246.0,0.0
Senpai ga Uzai Kouhai no Hanashi,TV,12,Finished Airing,Fall 2021,Fall,2021.0,"Comedy, Romance","Adult Cast, Love Status Quo, Workplace",Doga Kobo,"Movic, KlockWorx, King Records, Ichijinsha, DMM pictures",,PG-13 - Teens 13 or older,7.54,1891.0,714.0,368724.0,1742.0
Dai 13-kai Indies Anime Festa OP,Special,1,Finished Airing,,,,Comedy,Music,add some,add some,,G - All Ages,5.03,13703.0,20439.0,314.0,0.0
Real Koke-kun,ONA,1,Finished Airing,,,,Comedy,,add some,add some,,G - All Ages,5.01,13733.0,20897.0,290.0,0.0
Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,ONA,7,Finished Airing,,,,"Action, Supernatural",,L²Studio,bilibili,,PG-13 - Teens 13 or older,7.01,4492.0,8342.0,6554.0,7.0
"Ijiranaide, Nagatoro-san",TV,12,Finished Airing,Spring 2021,Spring,2021.0,"Comedy, Romance","Love Status Quo, School",Telecom Animation Film,"TMS Entertainment, Mainichi Broadcasting System, Kodansha, King Records",,PG-13 - Teens 13 or older,7.19,3562.0,238.0,866664.0,8977.0
Re:Zero kara Hajimeru Break Time 2nd Season,Special,25,Finished Airing,,,,Comedy,,Studio PuYUKAI,add some,,PG-13 - Teens 13 or older,7.33,2778.0,4041.0,37994.0,221.0
Yasai no Yousei: N.Y. Salad The Movie,Movie,1,Finished Airing,,,,Fantasy,,Digital Media Lab,add some,Kids,G - All Ages,,16792.0,21931.0,232.0,0.0
Yasai no Yousei: N.Y. Salad Special,Special,1,Finished Airing,,,,Fantasy,,Digital Media Lab,add some,Kids,G - All Ages,,16792.0,23061.0,181.0,0.0
Xiao Hua Xian 4th Season: Shou Hu Tian Shi 2,ONA,40,Finished Airing,,,,Fantasy,Mahou Shoujo,Taomee,add some,Kids,G - All Ages,,16335.0,20888.0,290.0,0.0
Xiao Hua Xian 5th Season: Si Shi Huayu - Chun Xia,ONA,26,Finished Airing,,,,Fantasy,Mahou Shoujo,Taomee,add some,Kids,G - All Ages,,16337.0,21162.0,276.0,0.0
Konbini Shoujo Z,OVA,4,Finished Airing,,,,Hentai,,Suzuki Mirano,add some,,Rx - Hentai,6.15,,9532.0,4609.0,16.0
The iDOLM@STER Million Live!,TV,12,Finished Airing,Fall 2023,Fall,2023.0,,"Idols (Female), Music",Shirogumi,"Lantis, Bandai Namco Entertainment, Bic Studio",,PG-13 - Teens 13 or older,6.94,4800.0,6638.0,11551.0,53.0
"Hataraku Saibou!! Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi!",Movie,1,Finished Airing,,,,"Action, Comedy","Anthropomorphic, Educational, Medical",David Production,"Aniplex, Kodansha",Shounen,PG-13 - Teens 13 or older,7.35,2669.0,4780.0,26278.0,12.0
Uracon III Opening Animation,Special,1.0,Finished Airing,,,,Sci-Fi,,add some,add some,,PG-13 - Teens 13 or older,6.23,8931.0,20811.0,295.0,0.0
Osomatsu-san 3rd Season,TV,25,Finished Airing,Fall 2020,Fall,2020.0,Comedy,"Adult Cast, Gag Humor, Parody",Studio Pierrot,"TV Tokyo, Dentsu, Rakuonsha, Avex Pictures, Daiichi Shokai",,R - 17+ (violence & profanity),7.4,2485.0,4877.0,25101.0,121.0
Grisaia: Phantom Trigger The Animation - Stargazer,Movie,1,Finished Airing,,,,Action,School,Bibury Animation Studios,add some,,R - 17+ (violence & profanity),6.87,5138.0,4364.0,32234.0,16.0
Shakunetsu Kabaddi,TV,12,Finished Airing,Spring 2021,Spring,2021.0,"Comedy, Sports","School, Team Sports",TMS Entertainment,TV Tokyo,,PG-13 - Teens 13 or older,7.0,4545.0,2207.0,107694.0,749.0
Benkai to Ushiwakamaru,Movie,1,Finished Airing,,,,Comedy,"Historical, Samurai",Tezuka Productions,add some,,PG - Children,,20240.0,19848.0,353.0,0.0
Honnouji no Hen,Movie,1,Finished Airing,,,,,"Historical, Samurai",add some,Tezuka Productions,,PG-13 - Teens 13 or older,,22020.0,20575.0,307.0,1.0
Heian Sento,Movie,1,Finished Airing,,,,Comedy,Historical,Tezuka Productions,add some,,G - All Ages,,21854.0,19302.0,391.0,0.0
Eternity: Shinya no Nurekoi Channel ♡,ONA,12,Finished Airing,,,,Hentai,,Seven,Simplicity,,Rx - Hentai,5.85,,7502.0,8591.0,32.0
Healin' Good♡Precure Movie: Yume no Machi de Kyun! Tto GoGo! Daihenshin!!,Movie,1,Finished Airing,,,,Action,Mahou Shoujo,Toei Animation,add some,,G - All Ages,7.19,3560.0,10511.0,3422.0,6.0
Date A Bullet: Nightmare or Queen,Movie,1,Finished Airing,,,,"Action, Fantasy, Sci-Fi",Isekai,Geek Toys,Nippon Columbia,,PG-13 - Teens 13 or older,7.64,1526.0,2666.0,80198.0,338.0
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,10,Finished Airing,Spring 2022,Spring,2022.0,Fantasy,"Isekai, Reincarnation",Ajia-do,"WOWOW, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, TO Books, JTB Next Creation, MediaNet Pictures, Happinet Phantom Studios",,PG-13 - Teens 13 or older,8.07,595.0,1443.0,185469.0,990.0
Bishoujo Senshi Sailor Moon S: Kotaete Moon Call!,OVA,1,Finished Airing,,,,Fantasy,,Toei Animation,add some,Shoujo,PG-13 - Teens 13 or older,6.26,8779.0,12592.0,1868.0,0.0
Bai Gui Youeryuan,ONA,10,Finished Airing,,,,Comedy,,Painting Dream,add some,,PG-13 - Teens 13 or older,5.87,10957.0,16527.0,655.0,0.0
Bai Gui Youeryuan 2nd Season,ONA,12,Finished Airing,,,,Comedy,,Painting Dream,add some,,PG-13 - Teens 13 or older,6.02,10165.0,18907.0,422.0,0.0
Bai Gui Youeryuan 3rd Season,ONA,12,Finished Airing,,,,Comedy,,Painting Dream,add some,,PG-13 - Teens 13 or older,5.99,10294.0,18298.0,466.0,0.0
Menghuan Shuyuan,ONA,14,Finished Airing,,,,"Comedy, Fantasy",,Painting Dream,add some,,,,18561.0,21601.0,251.0,0.0
Menghuan Shuyuan: Youxue Ji,ONA,14,Finished Airing,,,,"Comedy, Fantasy",,Painting Dream,add some,,,,18570.0,21898.0,234.0,0.0
Menghuan Shuyuan 3rd Season,ONA,14,Finished Airing,,,,"Comedy, Fantasy",,Painting Dream,add some,,,,18563.0,21187.0,274.0,0.0
Wu Sheng Guan Gong,Movie,1,Finished Airing,,,,Action,Historical,add some,add some,,,,16167.0,20494.0,313.0,0.0
Gonfu Tu Yu Cai Bao Gou,ONA,12,Finished Airing,,,,Comedy,,JJJOY Animation Studios,add some,,G - All Ages,,21586.0,21715.0,246.0,0.0
Gonfu Tu Yu Cai Bao Gou 2nd Season,ONA,10,Finished Airing,,,,Comedy,,Benlai Pictures,add some,,PG - Children,,21591.0,21868.0,237.0,0.0
Xing You Ji: Fengbao Famila 2,ONA,1,Finished Airing,,,,"Action, Adventure, Sci-Fi",,add some,add some,,,,16613.0,18927.0,420.0,1.0
Wo De San Ti: Zhang Bei Hai Zhuan,ONA,9,Finished Airing,,,,Sci-Fi,,add some,add some,,PG-13 - Teens 13 or older,,16095.0,22625.0,199.0,4.0
Xiao Cangshu Di Di de Chi Bo Richang,ONA,119,Finished Airing,,,,Comedy,,add some,add some,,G - All Ages,,16307.0,20467.0,314.0,0.0
Gu Xiong: Huo Qi,ONA,1,Finished Airing,,,,Action,,Ai Si Animation Studio,add some,,PG-13 - Teens 13 or older,,21624.0,20329.0,320.0,0.0
Guan Hai Ce Zhi Tie Qi Xiong Guan,ONA,16,Finished Airing,,,,"Action, Fantasy","Historical, Martial Arts, Military",Tong Mingxuan Studio,Tencent Video,,,,21645.0,18665.0,440.0,0.0
Hei Mao Jing Zhan Zhi Fei Cui Zhi Xing,Movie,1,Finished Airing,,,,"Action, Adventure, Comedy",Detective,Shanghai Animation Film Studio,add some,Kids,PG - Children,,21848.0,21982.0,230.0,0.0
Zhandou Wang Zhi Jufeng Zhan Hun 5,TV,26,Finished Airing,Fall 2018,Fall,2018.0,Action,,Alpha Animation,Alpha Group,Kids,PG - Children,,17044.0,20122.0,335.0,0.0
Meitantei Conan: Shakunetsu no Ginga Tetsudou,Movie,1,Finished Airing,,,,"Adventure, Mystery",,D & D Pictures,add some,Kids,PG-13 - Teens 13 or older,6.85,5245.0,12031.0,2217.0,4.0
Yeon-ae Halujeon Zero,ONA,19,Finished Airing,,,,Romance,School,"LICO, Red Dog Culture House",add some,,PG-13 - Teens 13 or older,7.19,3538.0,4412.0,31393.0,90.0
Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,TV,25,Finished Airing,Fall 2020,Fall,2020.0,,"Mahou Shoujo, Parody",Pie in the sky,Lantis,,G - All Ages,6.29,8574.0,13334.0,1485.0,2.0
Miao Xiansheng,Movie,1,Finished Airing,,,,"Adventure, Drama, Fantasy",,Guton Animation Studio,"Beijing Enlight Pictures, Horgos Coloroom Pictures",,PG-13 - Teens 13 or older,,18623.0,13679.0,1355.0,2.0
Shadowverse Recaps,TV Special,3,Finished Airing,,,,Fantasy,Strategy Game,Zexcs,"TV Tokyo, Sonilude",,PG-13 - Teens 13 or older,5.52,12527.0,14515.0,1093.0,0.0
Runway de Waratte Mini Anime,ONA,42,Finished Airing,,,,Comedy,Visual Arts,AQUA ARIS,Bit Promotion,,PG-13 - Teens 13 or older,5.52,12523.0,11459.0,2606.0,0.0
Wasureta Furi wo Shite,Movie,1,Finished Airing,,,,Slice of Life,,CALF,CEKAI,,G - All Ages,6.17,9289.0,13545.0,1406.0,2.0
Hawk no Onayami Soudanshitsu,ONA,39,Finished Airing,,,,Comedy,,Studio Deen,VAP,,PG-13 - Teens 13 or older,5.03,13705.0,13014.0,1631.0,0.0
Kamen Rider Zero-One: Short Anime - Everyone's Daily Life,ONA,5,Finished Airing,,,,Slice of Life,,add some,add some,,PG-13 - Teens 13 or older,6.44,7712.0,15873.0,756.0,2.0
Tadaima! Chibi Godzilla,ONA,12,Finished Airing,,,,"Fantasy, Slice of Life",,add some,add some,,G - All Ages,5.54,12421.0,15869.0,756.0,1.0
Hello Kitty no Kaguya-hime (2001),OVA,1.0,Finished Airing,,,,Fantasy,,Sanrio Digital,Sanrio,Kids,G - All Ages,5.67,11940.0,16659.0,636.0,0.0
World Witches Hasshin Shimasu!,TV,12,Finished Airing,Winter 2021,Winter,2021.0,Comedy,"CGDCT, Military","Acca effe, Giga Production","Nippon Columbia, Glovision",,PG-13 - Teens 13 or older,6.49,7383.0,6253.0,13306.0,19.0
Mamoru Hikitsugu Watashitachi no Kurashi,ONA,1,Finished Airing,,,,Slice of Life,Music,add some,add some,,G - All Ages,5.91,10759.0,18308.0,466.0,0.0
Zhandouban Geji!,ONA,12,Finished Airing,,,,"Comedy, Slice of Life","Idols (Female), Music",add some,add some,,PG-13 - Teens 13 or older,,17047.0,20884.0,291.0,2.0
Anime Kapibara-san,TV,24,Finished Airing,Fall 2020,Fall,2020.0,Comedy,,"Shin-Ei Animation, Lesprit",Jinnan Studio,Kids,G - All Ages,6.69,6128.0,9490.0,4675.0,46.0
Cardfight!! Vanguard: overDress,TV,12,Finished Airing,Spring 2021,Spring,2021.0,Comedy,Strategy Game,"Kinema Citrus, Gift-o’-Animation, Studio Jemi",Bushiroad,,PG-13 - Teens 13 or older,5.97,10395.0,5620.0,17651.0,69.0
Ookami-san wa Taberaretai,ONA,3,Finished Airing,,,,Hentai,School,Peak Hunt,"Studio Mausu, Suiseisha",Josei,Rx - Hentai,5.88,,4896.0,24852.0,87.0
Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru,OVA,1,Finished Airing,,,,"Comedy, Romance",Harem,"Silver, Arvo Animation","Aniplex, Movic, Magic Capsule, Shueisha, BS11, ADK",Shounen,PG-13 - Teens 13 or older,7.36,2643.0,3624.0,46639.0,40.0
Saikyou Kamizmode!,ONA,26,Finished Airing,,,,Action,,Bandai Namco Pictures,add some,,,,14601.0,15981.0,739.0,0.0
Pittarazu,OVA,10,Finished Airing,,,,Comedy,,DLE,"Pony Canyon, Takara Tomy A.R.T.S",,PG-13 - Teens 13 or older,,19482.0,22522.0,203.0,0.0
Kaizoku Oujo,TV,12,Finished Airing,Fall 2021,Fall,2021.0,"Action, Adventure, Fantasy",Historical,Production I.G,"flying DOG, Crunchyroll, DMM pictures",,PG-13 - Teens 13 or older,7.08,4157.0,1223.0,221693.0,1280.0
Hulaing Babies Aratame - Staying Babies: Chikyuu wo Mamore! Staying Babies with Yuusha Hayami-san,ONA,1,Finished Airing,,,,"Comedy, Slice of Life",,Fukushima Gaina,add some,,PG-13 - Teens 13 or older,5.43,12793.0,18732.0,435.0,0.0
U-turn wa Wakai Uchi ni Shiro!,ONA,3,Finished Airing,,,,Comedy,,DLE,add some,,G - All Ages,,15885.0,21184.0,274.0,0.0
Hoshi ni Kataru Kyouryuu,Movie,1,Finished Airing,,,,Drama,,add some,add some,Kids,G - All Ages,,22031.0,25052.0,124.0,0.0
Huanji 45 Miao,ONA,13,Finished Airing,,,,Sci-Fi,Music,Xanthus Media,Youku,,,,22104.0,19683.0,364.0,0.0
Kyokou Uranai,ONA,12,Finished Airing,,,,Supernatural,,AQUA ARIS,add some,,G - All Ages,6.11,9658.0,7565.0,8390.0,2.0
Yaku nara Mug Cup mo,TV,12,Finished Airing,Spring 2021,Spring,2021.0,Slice of Life,"CGDCT, Iyashikei, School, Visual Arts",Nippon Animation,"CBC Television, Planet, Half H.P Studio, Nippon Columbia, 81 Produce, Tokyo MX, BS11, Maho Film, Zipang",,PG-13 - Teens 13 or older,6.54,7091.0,3473.0,50032.0,138.0
Dogeza de Tanondemita,TV,12,Finished Airing,Fall 2020,Fall,2020.0,"Comedy, Ecchi",,Adonero,"DAX Production, DMM pictures, DMM Music",,R+ - Mild Nudity,5.55,12405.0,2649.0,80918.0,209.0
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,TV,12,Finished Airing,Fall 2021,Fall,2021.0,Drama,Mahou Shoujo,Studio Gokumi,Mainichi Broadcasting System,,PG-13 - Teens 13 or older,7.3,2941.0,4732.0,27123.0,157.0
Mashiro no Oto,TV,12,Finished Airing,Spring 2021,Spring,2021.0,Drama,"Music, Performing Arts, School",Shin-Ei Animation,DMM Music,Shounen,PG-13 - Teens 13 or older,7.52,1982.0,1652.0,158026.0,803.0
Toshoshitsu no Kanojo: Seiso na Kimi ga Ochiru made - The Animation,OVA,6,Finished Airing,,,,Hentai,,"Seven, Shion",Pink Pineapple,,Rx - Hentai,6.02,,7499.0,8616.0,60.0
Kaa-chan no Tomodachi ni Shikotteru Tokoro Mirareta. The Animation,OVA,1,Finished Airing,,,,Hentai,,Seven,Pink Pineapple,,Rx - Hentai,6.96,,7448.0,8750.0,57.0
Kesshouban: Eigakan e Iku,Movie,1,Finished Airing,,,,Comedy,Anthropomorphic,add some,add some,,PG-13 - Teens 13 or older,5.93,10651.0,9140.0,5225.0,1.0
Opette,Special,1,Finished Airing,,,,Avant Garde,Music,add some,add some,,G - All Ages,5.33,13111.0,20205.0,329.0,0.0
Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,ONA,2,Finished Airing,,,,Action,"School, Super Power",Bones,add some,Shounen,PG-13 - Teens 13 or older,7.16,3718.0,1386.0,194298.0,191.0
Heion Sedai no Idaten-tachi,TV,11,Finished Airing,Summer 2021,Summer,2021.0,"Action, Adventure, Fantasy",,MAPPA,"Aniplex, Dentsu, Hakusensha, Fuji TV, GREE Entertainment",Seinen,R - 17+ (violence & profanity),7.61,1623.0,1306.0,206273.0,1667.0
Peach Boy Riverside,TV,12,Finished Airing,Summer 2021,Summer,2021.0,"Action, Adventure, Fantasy",Gore,Asahi Production,"VAP, Sotsu, Kodansha, KlockWorx, Tokyo MX, Toy's Factory, Exa International, BS NTV, AQUA ARIS, Bit grooove promotion, GREE Entertainment, A3, jeux d'eau, Toei Advertising",Shounen,R - 17+ (violence & profanity),6.24,8903.0,1359.0,198643.0,690.0
Yeon-ae Halujeon 2,ONA,15,Finished Airing,,,,Romance,,"LICO, Red Dog Culture House",add some,,PG-13 - Teens 13 or older,7.37,2577.0,5514.0,18510.0,26.0
Yeon-ae Halujeon,ONA,10,Finished Airing,,,,Romance,,"LICO, Red Dog Culture House",add some,,PG-13 - Teens 13 or older,7.21,3438.0,4463.0,30639.0,63.0
Wan Sheng Jie 2,ONA,12,Finished Airing,,,,"Comedy, Fantasy","Mythology, Urban Fantasy","Fenz, HMCH",Tencent Video,,PG-13 - Teens 13 or older,8.02,670.0,5923.0,15321.0,62.0
Mulan: Heng Kong Chu Shi,Movie,1,Finished Airing,,,,Action,,add some,add some,,PG-13 - Teens 13 or older,5.79,11393.0,12274.0,2066.0,2.0
Aikatsu Planet!,TV,24,Finished Airing,Winter 2021,Winter,2021.0,Slice of Life,"Idols (Female), Music, School",Bandai Namco Pictures,Sunrise Music,,PG - Children,6.54,7042.0,9528.0,4611.0,28.0
Robocar Poli 3,TV,26,Finished Airing,Winter 2014,Winter,2014.0,Comedy,Racing,add some,add some,Kids,PG - Children,5.74,11603.0,19958.0,346.0,1.0
Himitsukessha Taka no Tsume: Golden Spell,TV,12,Finished Airing,Fall 2020,Fall,2020.0,Comedy,"Parody, Super Power",DLE,add some,,,6.14,9501.0,13422.0,1448.0,4.0
Ninjala,ONA,5,Finished Airing,,,,Action,Martial Arts,"Studio Hibari, domerica",add some,,G - All Ages,5.75,11583.0,15572.0,820.0,0.0
Robocar Poli 4,TV,26,Finished Airing,Summer 2015,Summer,2015.0,Comedy,,add some,add some,Kids,PG - Children,5.71,11750.0,20529.0,310.0,1.0
Mouseman: Ai no Katamari,Movie,1,Finished Airing,,,,"Drama, Romance, Sci-Fi",,Studio Kingyoiro,add some,,PG-13 - Teens 13 or older,,18847.0,20397.0,318.0,0.0
Taisou Zamurai,TV,11,Finished Airing,Fall 2020,Fall,2020.0,Sports,,MAPPA,add some,,PG-13 - Teens 13 or older,7.23,3340.0,3076.0,62561.0,135.0
Princess Connect! Re:Dive Season 2,TV,12,Finished Airing,Winter 2022,Winter,2022.0,"Adventure, Comedy, Fantasy, Gourmet",,CygamesPictures,"WOWOW, Nippon Columbia, Tokyo MX, BS11, Cygames",,PG-13 - Teens 13 or older,7.73,1284.0,1826.0,139153.0,838.0
Dokyuu Hentai HxEros: HxEros Report,TV Special,1,Finished Airing,,,,"Action, Comedy, Romance, Sci-Fi, Ecchi","Harem, School",Project No.9,Studio Mausu,Shounen,R+ - Mild Nudity,5.94,10564.0,7467.0,8678.0,11.0
Microphone Soul Spinners: Kotodama Shoujo - Furikaeri Douga,ONA,1,Finished Airing,,,,,Music,add some,add some,,PG-13 - Teens 13 or older,,18631.0,19513.0,374.0,0.0
Otona nya Koi no Shikata ga Wakaranee!,ONA,8,Finished Airing,,,,Hentai,,Ether Kitten,"Studio Mausu, Suiseisha",Josei,Rx - Hentai,5.8,,5846.0,15805.0,48.0
Kaeru no Pickles: Kimochi no Iro,TV,12,Finished Airing,Fall 2020,Fall,2020.0,Slice of Life,,Sunny Gapen,add some,Kids,G - All Ages,5.37,13002.0,14456.0,1107.0,0.0
Deca-Dence: Install,ONA,1,Finished Airing,,,,"Action, Adventure, Sci-Fi",,Nut,Kadokawa,,PG-13 - Teens 13 or older,6.32,8406.0,7812.0,7699.0,3.0
Moyashimon Returns: Kin Gekijou Shutchou-ban,ONA,3.0,Finished Airing,,,,Comedy,,add some,add some,,G - All Ages,,18849.0,20260.0,326.0,0.0
Gigi Goegoe Sunghyungsoo,Movie,1,Finished Airing,,,,"Horror, Suspense",,Studio Animal,add some,,R+ - Mild Nudity,6.18,9223.0,11555.0,2529.0,3.0
Ji Jia Shou Shen: Baolie Feiche,TV,40,Finished Airing,Spring 2016,Spring,2016.0,"Action, Adventure",Racing,Alpha Animation,add some,,PG - Children,5.9,10816.0,18093.0,483.0,0.0
Machikado Mazoku: 2-choume,TV,12,Finished Airing,Spring 2022,Spring,2022.0,Comedy,"CGDCT, Mahou Shoujo, School",J.C.Staff,"Pony Canyon, Houbunsha, Medicos Entertainment, BS11, RAY, Nichion",,PG-13 - Teens 13 or older,7.84,990.0,2761.0,75641.0,341.0
Kono Sekai no Tanoshimikata: Secret Story Film,Movie,1,Finished Airing,,,,,"Idols (Male), Music",CLAP,add some,,PG-13 - Teens 13 or older,7.4,2474.0,9300.0,4967.0,44.0
Love Live! μ's Go→Go! LoveLive! 2015: Dream Sensation!,Special,4,Finished Airing,,,,Comedy,Music,add some,add some,,PG-13 - Teens 13 or older,6.27,8737.0,14982.0,966.0,1.0
Oneshota The Animation,OVA,1,Finished Airing,,,,Hentai,,Studio 1st,Pink Pineapple,,Rx - Hentai,6.88,,6845.0,10730.0,81.0
White Blue,OVA,4,Finished Airing,,,,Hentai,,PoRO,add some,,Rx - Hentai,5.7,,8708.0,5942.0,29.0
Baolie Feiche II: Xing Neng Juexing,ONA,26,Finished Airing,,,,"Action, Adventure",Racing,Alpha Animation,add some,,PG - Children,,20179.0,21135.0,276.0,1.0
Baolie Feiche 3: Shou Shen Heti,ONA,52,Finished Airing,,,,"Action, Adventure",Racing,Alpha Animation,add some,,PG - Children,,20176.0,21396.0,261.0,0.0
Sayonara Watashi no Cramer,TV,13,Finished Airing,Spring 2021,Spring,2021.0,"Drama, Sports",Team Sports,LIDENFILMS,"Kodansha, Toy's Factory, DMM pictures",Shounen,PG-13 - Teens 13 or older,6.1,9697.0,3687.0,45227.0,134.0
Shu Ling Ji,ONA,30,Finished Airing,,,,,Martial Arts,Suoyi Technology,add some,,PG-13 - Teens 13 or older,6.24,8909.0,15561.0,821.0,2.0
Sakura Kakumei: Hanasaku Otome-tachi,ONA,1,Finished Airing,,,,,Mecha,CloverWorks,"Half H.P Studio, Imagine",,PG-13 - Teens 13 or older,5.87,10936.0,12831.0,1727.0,0.0
Jing: Shuang Cheng - Feng Qi Pian,ONA,4,Finished Airing,,,,"Action, Adventure, Fantasy, Romance",,add some,"Foch Film, Tencent Video",,R - 17+ (violence & profanity),6.58,6801.0,13591.0,1386.0,12.0
Rebirth: Virtual to no Souguu,Special,1,Finished Airing,,,,"Comedy, Slice of Life",Strategy Game,add some,add some,,PG-13 - Teens 13 or older,5.59,12271.0,14687.0,1046.0,0.0
Sayonara Watashi no Cramer Movie: First Touch,Movie,1,Finished Airing,,,,"Romance, Sports","School, Team Sports",LIDENFILMS,"Dentsu, Kodansha, Ultra Super Pictures, Tokyo MX, Docomo Anime Store, Toy's Factory, DMM pictures, Marui Group, AQUA ARIS",Shounen,PG-13 - Teens 13 or older,7.07,4194.0,6597.0,11709.0,23.0
Nakado Riku Animation: Hijouyou Mochidashi Bukuro wo Youi Shiyou,ONA,1,Finished Airing,,,,Slice of Life,,Ekakiya,Vanikey,,G - All Ages,,18946.0,21840.0,238.0,0.0
Dokyuu Hentai HxEros OVA,OVA,2,Finished Airing,,,,"Action, Comedy, Sci-Fi, Ecchi","Harem, School",Project No.9,add some,Shounen,R+ - Mild Nudity,6.22,9015.0,5374.0,19923.0,35.0
Onegai Patron-sama!,ONA,10,Finished Airing,,,,Slice of Life,,TANOsim,"Happinet, Bit grooove promotion",,PG-13 - Teens 13 or older,,19243.0,16261.0,694.0,3.0
Tasuuketsu: Judgement Assizes,OVA,1,Finished Airing,,,,"Action, Drama, Suspense","Psychological, Super Power",IMAGICA Lab.,add some,,PG-13 - Teens 13 or older,5.58,12328.0,15439.0,853.0,0.0
Shenmue the Animation,TV,13,Finished Airing,Winter 2022,Winter,2022.0,"Action, Adventure",Martial Arts,Telecom Animation Film,Wave Master,,R - 17+ (violence & profanity),6.64,6461.0,4910.0,24710.0,150.0
Black Channel,ONA,Unknown,Currently Airing,,,,"Comedy, Supernatural",Mythology,add some,add some,,PG-13 - Teens 13 or older,,20313.0,21979.0,230.0,1.0
